ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009749526;39068;39;27;200026573.0;BOUCHOUX;318;1.0;677.0;5;39068
COMMUNE_0000000009759639;13048;13;93;200054807.0;JOUQUES;4403;14.0;3395.0;5;13048
COMMUNE_0000000009732709;14015;14;28;241400860.0;ANISY;718;1.0;2477.0;5;14015
COMMUNE_0000000009728590;8304;8;44;240800821.0;MONTIGNY SUR MEUSE;80;;;5;08304
COMMUNE_0000000009753061;42110;42;84;244200770.0;HORME;4812;39.0;1993.0;5;42110
COMMUNE_0000000009729198;80195;80;32;248000747.0;CHUIGNOLLES;154;3.0;1655.0;5;80195
COMMUNE_0000000009727949;59392;59;32;200043396.0;MAUBEUGE;29679;237.0;1063.0;5;59392
COMMUNE_0000000009753984;38086;38;84;200070431.0;CHASSELAY;411;;;5;38086
COMMUNE_0000000009762497;11409;11;76;200035863.0;VIGNEVIEILLE;103;2.0;1195.0;5;11409
COMMUNE_0000000009756480;46113;46;76;244600573.0;FRAYSSINET;305;3.0;895.0;5;46113
COMMUNE_0000000009735198;14146;14;28;200066710.0;CAUVILLE;161;;;5;14146
COMMUNE_0000000009758864;32208;32;76;243200391.0;LECTOURE;3663;42.0;1615.0;5;32208
COMMUNE_0000000009762339;9244;9;76;200044469.0;RIEUCROS;686;9.0;1445.0;5;09244
COMMUNE_0000000009732688;14227;14;28;200065563.0;DOUVILLE EN AUGE;214;2.0;1999.0;5;14227
COMMUNE_0000000009727764;62522;62;32;200044030.0;LOISON SUR CREQUOISE;258;3.0;1309.0;5;62522
COMMUNE_0000000009749804;3035;3;84;200071470.0;BOUCHAUD;214;2.0;791.0;5;03035
COMMUNE_0000000009762535;9168;9;76;240900464.0;LIEURAC;183;2.0;1318.0;5;09168
COMMUNE_0000000009739043;67154;67;44;200067924.0;GERSTHEIM;3434;;;5;67154
COMMUNE_0000000009735549;78217;78;11;200059889.0;EPONE;6507;104.0;2835.0;5;78217
